NAME,TEAM,SALARY,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK,Duration
KevinDurant,Oklahoma City Thunder,6053663,SF,78,38.9,27.7,9.1,19.7,46.2,1.9,5.3,35,7.6,8.7,88,6.8,2.7,1.1,1,2.8,14,0,23.7,1,2010-2011
KevinGarnett,Boston Celtics,18832044,PF,71,31.3,14.9,6.1,11.6,52.8,0,0.1,20,2.6,3.1,86.2,8.9,2.4,1.3,0.8,1.6,28,0,20.67,50,2010-2011
KevinLove,Minnesota Timberwolves,3638280,PF,73,35.8,20.2,6.6,14.1,47,1.2,2.9,41.7,5.8,6.8,85,15.2,2.5,0.6,0.4,2.1,64,0,24.39,18,2010-2011
KevinMartin,Houston Rockets,10600005,SG,80,32.5,23.5,6.9,15.8,43.6,2.2,5.7,38.3,7.4,8.4,88.8,3.2,2.5,1,0.2,2.3,0,0,21.46,9,2010-2011
KeyonDooling,Milwaukee Bucks,2080000,PG,80,22,7.1,2.6,6.5,39.7,1,2.9,34.6,1,1.2,83,1.5,3,0.7,0.1,1.1,2,0,11.32,150,2010-2011
KobeBryant,Los Angeles Lakers,24806250,SF,82,33.9,25.3,9,20,45.1,1.4,4.3,32.3,5.9,7.1,82.8,5.1,4.7,1.2,0.1,3,9,1,23.94,5,2010-2011
KyleKorver,Chicago Bulls,5.00E+06,SG,82,20.1,8.3,3,6.8,43.4,1.5,3.5,41.5,0.9,1.1,88.5,1.8,1.5,0.4,0.2,0.7,0,0,13.01,134,2010-2011
KyleLowry,Houston Rockets,5750000,PG,75,34.2,13.5,4.6,10.8,42.6,1.7,4.6,37.6,2.6,3.3,76.5,4.1,6.7,1.4,0.3,2.1,10,1,16.51,65,2010-2011
LaMarcusAldridge,Portland Trail Blazers,11244000,C,81,39.6,21.8,8.7,17.5,50,0,0.3,17.4,4.3,5.5,79.1,8.8,2.1,1,1.2,1.9,36,0,21.57,14,2010-2011
LamarOdom,Los Angeles Lakers,8200000,PF,82,32.2,14.4,5.8,10.9,53,0.8,2.2,38.2,2,3,67.5,8.7,3,0.6,0.7,1.7,28,0,19.5,53,2010-2011
LeBronJames,Miami Heat,14500000,SF,79,38.8,26.7,9.6,18.8,51,1.2,3.5,33,6.4,8.4,75.9,7.5,7,1.6,0.6,3.6,31,4,27.34,2,2010-2011
LouWilliams,Philadelphia 76ers,5.00E+06,SG,75,23.3,13.7,4.3,10.6,40.6,1.2,3.4,34.8,3.9,4.7,82.3,2,3.4,0.6,0.2,1.4,0,0,18.93,63,2010-2011
LuisScola,Houston Rockets,7775378,F,74,32.6,18.3,7.7,15.3,50.4,0,0,0,2.9,3.9,73.8,8.2,2.5,0.6,0.6,2,19,0,18.43,27,2010-2011
LukeRidnour,Minnesota Timberwolves,4.00E+06,PG,71,30.4,11.8,4.5,9.6,46.8,1.1,2.6,44,1.7,1.9,88.3,2.8,5.4,1.3,0.1,2.2,3,0,15.08,83,2010-2011
LuolDeng,Chicago Bulls,11345000,SF,82,39.1,17.4,6.5,14.1,46,1.4,4.1,34.5,3.1,4.1,75.3,5.8,2.8,1,0.6,1.9,8,0,15.58,30,2010-2011
